,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
0,abbott,cory,676265,abboc001,abbotco01,20277,2021.0,2022.0,cory abbott-676265
1,abrams,cj,682928,abrac001,abramcj01,25768,2022.0,2022.0,cj abrams-682928
2,abreu,albert,656061,abrea001,abreual01,17485,2020.0,2022.0,albert abreu-656061
3,abreu,bryan,650556,abreb002,abreubr01,16609,2019.0,2022.0,bryan abreu-650556
4,abreu,josé,547989,abrej003,abreujo02,15676,2014.0,2022.0,josé abreu-547989
5,acevedo,domingo,642758,acevd001,acevedo01,17092,2021.0,2022.0,domingo acevedo-642758
6,acuña,ronald,660670,acunr001,acunaro01,18401,2018.0,2022.0,ronald acuña-660670
7,adam,jason,592094,adamj002,adamja01,11861,2018.0,2022.0,jason adam-592094
8,adames,willy,642715,adamw002,adamewi01,15986,2018.0,2022.0,willy adames-642715
9,adams,austin,613534,adama002,adamsau02,13801,2017.0,2022.0,austin adams-613534
10,adams,riley,656180,adamr004,adamsri03,19864,2021.0,2022.0,riley adams-656180
11,adell,jo,666176,adelj001,adelljo01,20220,2020.0,2022.0,jo adell-666176
12,adon,joan,672851,adonj001,adonjo01,22925,2021.0,2022.0,joan adon-672851
13,adrianza,ehire,501303,adrie001,adriaeh01,8418,2013.0,2022.0,ehire adrianza-501303
14,aguilar,jesús,542583,aguij001,aguilje01,11342,2014.0,2022.0,jesús aguilar-542583
15,ahmed,nick,605113,ahmen001,ahmedni01,12147,2014.0,2022.0,nick ahmed-605113
16,akin,keegan,669211,akink001,akinke01,19362,2020.0,2022.0,keegan akin-669211
17,alberto,hanser,593643,albeh001,alberha01,11902,2015.0,2022.0,hanser alberto-593643
18,albies,ozzie,645277,albio001,albieoz01,16556,2017.0,2022.0,ozzie albies-645277
19,alcala,jorge,660896,alcaj001,alcaljo01,19459,2019.0,2022.0,jorge alcala-660896
20,alcantara,sandy,645261,alcas001,alcansa01,18684,2017.0,2022.0,sandy alcantara-645261
21,alcántara,sergio,642727,alcas002,alcanse01,16417,2020.0,2022.0,sergio alcántara-642727
22,alexander,jason,669920,alexj001,alexaja01,19666,2022.0,2022.0,jason alexander-669920
23,alexander,tyler,641302,alext001,alexaty01,17735,2019.0,2022.0,tyler alexander-641302
24,alexy,a. j.,669935,alexa001,alexyaj01,22343,2021.0,2022.0,a. j. alexy-669935
25,alfaro,jorge,595751,alfaj002,alfarjo01,12180,2016.0,2022.0,jorge alfaro-595751
26,alford,anthony,546990,alfoa002,alforan01,14329,2017.0,2022.0,anthony alford-546990
27,allard,kolby,663465,allak001,allarko01,18694,2018.0,2022.0,kolby allard-663465
28,alldred,cam,682027,alldc001,alldrca01,25078,2022.0,2022.0,cam alldred-682027
29,allen,austin,664119,allea001,allenau01,18083,2019.0,2022.0,austin allen-664119
30,allen,greg,656185,alleg002,allengr01,16623,2017.0,2022.0,greg allen-656185
31,allen,logan,663531,allel002,allenlo01,18555,2019.0,2022.0,logan allen-663531
32,allen,nick,669397,allen002,allenni02,22277,2022.0,2022.0,nick allen-669397
33,almonte,yency,622075,almoy001,almonye01,15068,2018.0,2022.0,yency almonte-622075
34,almora,albert,546991,almoa002,almoral01,14109,2016.0,2022.0,albert almora-546991
35,alonso,pete,624413,alonp001,alonspe01,19251,2019.0,2022.0,pete alonso-624413
36,altuve,jose,514888,altuj001,altuvjo01,5417,2011.0,2022.0,jose altuve-514888
37,alvarado,josé,621237,alvaj004,alvarjo03,17780,2017.0,2022.0,josé alvarado-621237
38,alvarez,eddy,657193,alvae001,alvared01,16959,2020.0,2022.0,eddy alvarez-657193
39,alvarez,jose,501625,alvaj003,alvarjo02,5358,2013.0,2022.0,jose alvarez-501625
40,alvarez,yordan,670541,alvay001,alvaryo01,19556,2019.0,2022.0,yordan alvarez-670541
41,anderson,brian,605119,andeb006,anderbr06,18289,2017.0,2022.0,brian anderson-605119
42,anderson,ian,666120,andei001,anderia01,19951,2020.0,2022.0,ian anderson-666120
43,anderson,shaun,641312,andes002,andersh01,19453,2019.0,2022.0,shaun anderson-641312
44,anderson,tim,641313,andet001,anderti01,15172,2016.0,2022.0,tim anderson-641313
45,anderson,tyler,542881,andet002,anderty01,12880,2016.0,2022.0,tyler anderson-542881
46,andrus,elvis,462101,andre001,andruel01,8709,2009.0,2022.0,elvis andrus-462101
47,andújar,miguel,609280,andum001,andujmi01,15878,2017.0,2022.0,miguel andújar-609280
48,appel,mark,571446,appem001,appelma01,14823,2022.0,2022.0,mark appel-571446
49,aquino,aristides,606157,aquia001,aquinar01,15482,2018.0,2022.0,aristides aquino-606157
50,aranda,jonathan,666018,aranj001,arandjo01,21837,2022.0,2022.0,jonathan aranda-666018
51,arano,víctor,644364,aranv001,aranovi01,15915,2017.0,2022.0,víctor arano-644364
52,araúz,jonathan,660620,arauj001,arauzjo01,20275,2020.0,2022.0,jonathan araúz-660620
53,archer,chris,502042,archc001,archech01,6345,2012.0,2022.0,chris archer-502042
54,arcia,orlando,606115,arcio002,arciaor01,13185,2016.0,2022.0,orlando arcia-606115
55,arenado,nolan,571448,arenn001,arenano01,9777,2013.0,2022.0,nolan arenado-571448
56,arias,gabriel,672356,ariag002,ariasga01,22563,2022.0,2022.0,gabriel arias-672356
57,armstrong,shawn,542888,armss001,armstsh01,12857,2015.0,2022.0,shawn armstrong-542888
58,arozarena,randy,668227,arozr001,arozara01,19290,2019.0,2022.0,randy arozarena-668227
59,arraez,luis,650333,arral001,arraelu01,18568,2019.0,2022.0,luis arraez-650333
60,arroyo,christian,624414,arroc001,arroych01,16434,2017.0,2022.0,christian arroyo-624414
61,ashby,aaron,676879,ashba003,ashbyaa01,23550,2021.0,2022.0,aaron ashby-676879
